Municipality name;Official municipality code (AGS);Name of municipality ass.;Code of municipality associations (RS)
Großrückerswalde;14521250;Großrückerswalde;145210250.0
Grünhain-Beierfeld, Stadt;14521260;Grünhain-Beierfeld, Stadt;145210260.0
Grünhainichen;14521270;Wildenstein;145215405.0
Heidersdorf;14521280;Seiffen/Erzgeb.;145215132.0
Hohndorf;14521290;Hohndorf;145210290.0
Jahnsdorf/Erzgeb.;14521310;Jahnsdorf/Erzgeb.;145210310.0
Johanngeorgenstadt, Stadt;14521320;Johanngeorgenstadt, Stadt;145210320.0
Jöhstadt, Stadt;14521330;Jöhstadt, Stadt;145210330.0
Königswalde;14521340;Bärenstein-Königswalde;145215101.0
Lauter-Bernsbach, Stadt;14521355;Lauter-Bernsbach, Stadt;145210355.0
Lößnitz, Stadt;14521370;Lößnitz, Stadt;145210370.0
Lugau/Erzgeb., Stadt;14521380;Lugau;145215115.0
Marienberg, Stadt;14521390;Marienberg, Stadt;145210390.0
Mildenau;14521400;Mildenau;145210400.0
Neukirchen/Erzgeb.;14521410;Neukirchen/Erzgeb.;145210410.0
Niederdorf;14521420;Stollberg/Erzgeb.;145215133.0
Niederwürschnitz;14521430;Lugau;145215115.0
Oberwiesenthal, Kurort, Stadt;14521440;Oberwiesenthal, Kurort, Stadt;145210440.0
Oelsnitz/Erzgeb., Stadt;14521450;Oelsnitz/Erzgeb., Stadt;145210450.0
Olbernhau, Stadt;14521460;Olbernhau, Stadt;145210460.0
Pockau-Lengefeld, Stadt;14521495;Pockau-Lengefeld, Stadt;145210495.0
Raschau-Markersbach;14521500;Raschau-Markersbach;145210500.0
Scheibenberg, Stadt;14521510;Scheibenberg-Schlettau;145215130.0
Schlettau, Stadt;14521520;Scheibenberg-Schlettau;145215130.0
Schneeberg, Stadt;14521530;Schneeberg, Stadt;145210530.0
Schönheide;14521540;Schönheide;145210540.0
Schwarzenberg/Erzgeb., Stadt;14521550;Schwarzenberg/Erzgeb., Stadt;145210550.0
Sehmatal;14521560;Sehmatal;145210560.0
Seiffen/Erzgeb., Kurort;14521570;Seiffen/Erzgeb.;145215132.0
